,sentiment,city,country,region
14486,negative,Riyadh,Saudi Arabia,Gulf
14487,neutral,Riyadh,Saudi Arabia,Gulf
14488,neutral,Salt,Jordan,Levant
14489,neutral,Salt,Jordan,Levant
14490,neutral,Aleppo,Syria,Levant
14491,neutral,Salt,Jordan,Levant
14492,neutral,Riyadh,Saudi Arabia,Gulf
14493,neutral,Aleppo,Syria,Levant
14494,neutral,Riyadh,Saudi Arabia,Gulf
14495,negative,Riyadh,Saudi Arabia,Gulf
14496,neutral,Riyadh,Saudi Arabia,Gulf
14497,neutral,Riyadh,Saudi Arabia,Gulf
14498,neutral,Salt,Jordan,Levant
14499,positive,Salt,Jordan,Levant
14500,neutral,Salt,Jordan,Levant
